,lat,lon,CH4
283,70.13308,-143.66361830000002,4.4
284,70.13308,-143.66361830000002,4.4
285,70.13308,-143.66361830000002,4.6
286,70.13308,-143.66361830000002,5.8
287,70.13308,-143.66361830000002,4.4
288,70.13308,-143.66361830000002,4.4
289,70.13303833,-143.66361830000002,3.4
290,70.13303833,-143.66361830000002,4.6
291,70.13303833,-143.66361830000002,4.4
292,70.13301750000001,-143.6636217,4.2
293,70.13301750000001,-143.6636217,3.8
294,70.132975,-143.6636233,3.6
295,70.132975,-143.6636233,3.6
296,70.132975,-143.6636233,3.6
297,70.132975,-143.6636233,3.6
298,70.13291167,-143.66362,3.4
299,70.13270833,-143.6636267,4.0
300,70.13270833,-143.6636267,3.8
301,70.13249499999999,-143.66361669999998,3.6
302,70.13249499999999,-143.66361669999998,3.8
303,70.13244,-143.66368830000002,3.4
304,70.13243917,-143.6637925,4.2
305,70.13243917,-143.6637925,4.0
306,70.13249167,-143.6638825,3.6
307,70.13249167,-143.6638825,3.6
308,70.13249167,-143.6638825,3.4
309,70.13249167,-143.6638825,3.6
310,70.13249167,-143.6638825,3.6
311,70.13251,-143.6639,3.8
312,70.13251,-143.6639,3.6
313,70.13251,-143.6639,4.0
314,70.13252917,-143.6639083,4.6
315,70.13252917,-143.6639083,5.2
316,70.13252917,-143.6639083,4.4
317,70.13256833,-143.66392,3.4
318,70.13272417,-143.6638725,3.4
319,70.13276333,-143.66389080000002,3.4
320,70.13276333,-143.66389080000002,3.8
321,70.13278333,-143.6639,3.8
322,70.13278333,-143.6639,3.8
323,70.13278333,-143.6639,3.8
324,70.13278333,-143.6639,3.8
325,70.13278333,-143.6639,3.6
326,70.13278333,-143.6639,3.6
327,70.13278333,-143.6639,3.6
328,70.13278333,-143.6639,3.6
329,70.1327975,-143.6639042,4.0
330,70.1327975,-143.6639042,3.6
331,70.13281167,-143.6639083,3.6
332,70.13287083,-143.66390669999998,3.4
333,70.13287083,-143.66390669999998,3.6
334,70.13289,-143.6639167,3.6
335,70.13289,-143.6639167,4.0
336,70.13289,-143.6639167,4.8
337,70.13291,-143.663915,4.6
338,70.13291,-143.663915,3.8
339,70.13301,-143.6639233,3.4
340,70.13301,-143.6639233,3.8
341,70.13301,-143.6639233,4.2
342,70.13305,-143.6639183,3.4
343,70.13306999999999,-143.6639167,3.6
344,70.13306999999999,-143.6639167,4.4
345,70.13309,-143.663915,4.4
346,70.13309,-143.663915,4.6
347,70.13309,-143.663915,4.2
348,70.13309,-143.663915,4.2
349,70.13309,-143.663915,4.2
350,70.13309,-143.663915,4.2
351,70.13309,-143.663915,4.2
352,70.13309,-143.663915,4.2
353,70.13309,-143.663915,4.2
354,70.13309,-143.663915,4.2
355,70.13309,-143.663915,4.2
356,70.13309,-143.663915,3.8
357,70.13314833,-143.66391169999997,3.8
358,70.13321167,-143.66390330000002,3.6
359,70.13321167,-143.66390330000002,3.6
360,70.13321167,-143.66390330000002,3.6
361,70.13321167,-143.66390330000002,3.6
362,70.13323333,-143.6639,3.6
363,70.133255,-143.66389669999998,3.4
364,70.1332775,-143.663895,3.4
365,70.1332775,-143.663895,3.8
366,70.1333,-143.6638933,3.8
367,70.13336667,-143.66392,3.6
368,70.13336667,-143.66392,4.0
369,70.13336667,-143.66392,3.8
370,70.13338833,-143.66413500000002,3.6
371,70.13338833,-143.66413500000002,3.6
